	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
1	ENST00000491703	5.48635642135505e-09	5.15717503607375e-07	-2.35341518183294	0.403555191436748	0.483560410356527	1.84618767269393	0.16285679253555	-0.16285679253555	0	0
2	ENST00000291572	4.35818598485624e-08	2.04834741288243e-06	-2.75926170831592	0.50391155383341	0.686483673598013	2.53784172499282	0.253926854086802	-0.253926854086802	0	0
3	ENST00000474114	2.48999338086693e-07	7.80197926004971e-06	2.62552211349758	0.508974764055785	0.619613876188842	2.29778878948826	0.259055310445642	-0.259055310445642	0	0
4	ENST00000398158	2.76664665970564e-05	0.000650161965030826	2.82988489294212	0.675088915421296	0.721795265911116	2.66941616910068	0.455745043724701	-0.455745043724701	0	0
5	ENST00000496121	7.64971859327109e-05	0.00143814709553496	2.61505563333169	0.661182865611022	0.614380636105901	2.27950532180661	0.437162781777602	-0.437162781777602	0	0
6	ENST00000491298	0.000116720660403916	0.00182862367966134	2.52730193190457	0.65594568099499	0.570503785392338	2.12908501833619	0.430264736415981	-0.430264736415981	0	0
7	ENST00000351429	0.000372423834972116	0.00388976005415321	-2.89014088664417	0.812090274083208	0.75192326276214	2.78430478155078	0.659490613260539	-0.659490613260539	0	0
8	ENST00000438952	0.000371305381218457	0.00388976005415321	-2.72460801417715	0.765407890110856	0.66915682652863	2.47449627697278	0.585849238243953	-0.585849238243953	0	0
9	ENST00000471909	0.000329201511163433	0.00388976005415321	3.09444352699754	0.861682051214338	0.854074582938825	3.19186024725899	0.742495957384949	-0.742495957384949	0	0
10	ENST00000613488	0.000523626834747712	0.0049220922466285	2.63555650610931	0.759883434785537	0.624631072494708	2.31538603229836	0.577422834461466	-0.577422834461466	0	0
11	ENST00000327505	0.000638996907948195	0.0054605190315573	2.49092257080973	0.729513579528209	0.552314163753891	2.06823175125644	0.532190062716061	-0.532190062716061	0	0
12	ENST00000398505	0.00147315187139705	0.0115396896592769	2.47777403371991	0.779193571939112	0.54573983630001	2.04645472072554	0.607142622551232	-0.607142622551232	0	0
13	ENST00000497547	0.00174881006982539	0.0126452420433528	-2.81553877481227	0.899569227513886	0.71462220684619	2.64241953082379	0.809224795089929	-0.809224795089929	0	0
14	ENST00000270162	0.00294031753959446	0.0173339556045546	-2.34588687816018	0.788822543401805	0.479796258520146	1.83439508170804	0.622241004978893	-0.622241004978893	0	0
15	ENST00000286827	0.00295046052843482	0.0173339556045546	-3.12764245987643	1.05206776919257	0.8706800118762	3.2607157856073	1.10684659097384	-1.10684659097384	0	0
16	ENST00000397728	0.00280238307501216	0.0173339556045546	-2.76656787834255	0.925700067767311	0.690136758611329	2.55129927515893	0.856920615464404	-0.856920615464404	0	0
17	ENST00000303775	0.00372663927307491	0.0191731468557132	2.44946690658655	0.844521689778943	0.532294996946803	1.99996270882089	0.713216884507082	-0.713216884507082	0	0
