	a	b	c	d
ENST00000332473	0	0	0	0
ENST00000332512	834.994179058866	1170.59621195865	834.994179058866	1170.59621195865
ENST00000332587	0	0	0	0
ENST00000332859	0	0	0	0
ENST00000333229	776.005276632982	692.383772159318	776.005276632982	692.383772159318
ENST00000333337	0	0	0	0
ENST00000333634	0	0	0	0
ENST00000333781	0	0	0	0
ENST00000333892	0	0	0	0
ENST00000334046	0	0	0	0
ENST00000334055	0	0	0	0
ENST00000334058	0	0	0	0
ENST00000334063	0	0	0	0
ENST00000334067	0	0	0	0
ENST00000334068	1246.48627942939	1397.34029928264	1246.48627942939	1397.34029928264
ENST00000334151	0	0	0	0
ENST00000334160	0	0	0	0
ENST00000334165	483.654413888428	0	483.654413888428	0
ENST00000334352	0	0	0	0
ENST00000334494	2006.8214461537	1366.89707514325	2006.8214461537	1366.89707514325
ENST00000334538	0	0	0	0
ENST00000334662	0	0	0	0
ENST00000334664	0	0	0	0
ENST00000334670	0	0	0	0
ENST00000334680	0	0	0	0
ENST00000334849	0	0	0	0
ENST00000334897	0	0	0	0
ENST00000335093	0	0	0	0
ENST00000335440	0	0	0	0
ENST00000335512	0	0	0	0
ENST00000336648	556.687654828952	936.692642138992	556.687654828952	936.692642138992
ENST00000337385	0	0	0	0
ENST00000337909	0	0	0	0
ENST00000338326	0	0	0	0
ENST00000338785	499.42422545318	200.995988263205	499.42422545318	200.995988263205
ENST00000339024	0	0	0	0
ENST00000339195	689.57657886756	0	689.57657886756	0
ENST00000339659	0	0	0	0
ENST00000339775	0.00307991191260883	0.00426600500233291	0.00307991191260883	0.00426600500233291
ENST00000339818	0	0	0	0
ENST00000339944	0	0	0	0
ENST00000340344	2355.87562755017	3265.92956730124	2355.87562755017	3265.92956730124
ENST00000340345	0	0	0	0
ENST00000340648	0	0	0	0
ENST00000341322	334.178794830105	1768.41770121187	334.178794830105	1768.41770121187
ENST00000341618	606.641316022413	0	606.641316022413	0
ENST00000342101	0	0	0	0
ENST00000342108	0	0	0	0
ENST00000342136	0	608.892479683196	0	608.892479683196
ENST00000342220	0	258.645647229782	0	258.645647229782
ENST00000342449	1095.68955652128	826.073516866357	1095.68955652128	826.073516866357
ENST00000342757	234.247043356493	264.488521977858	234.247043356493	264.488521977858
ENST00000343118	0	0	0	0
ENST00000343528	0	0	0	0
ENST00000343687	0	0	0	0
ENST00000344330	2022.65573432571	0	2022.65573432571	0
ENST00000344577	0	0	0	0
ENST00000344691	1856.58955410746	1118.76480998504	1856.58955410746	1118.76480998504
ENST00000344693	849.184998113325	952.123227416238	849.184998113325	952.123227416238
ENST00000345496	1677.96942078041	2051.33992856723	1677.96942078041	2051.33992856723
ENST00000346798	816.092212501729	0	816.092212501729	0
ENST00000347667	565.222467771572	259.412996817298	565.222467771572	259.412996817298
ENST00000347800	0	0	0	0
ENST00000348354	838.14558090683	1618.68667520548	838.14558090683	1618.68667520548
ENST00000348499	0	0	0	0
ENST00000348831	0	0	0	0
ENST00000348990	0	0	0	0
ENST00000349048	4361.84492174654	4532.91184376196	4361.84492174654	4532.91184376196
ENST00000349112	0	0	0	0
ENST00000349485	0	0	0	0
ENST00000349499	256.116779862957	476.008453646718	256.116779862957	476.008453646718
ENST00000351097	387.201946844399	0	387.201946844399	0
ENST00000351429	1514.83499973976	0	1514.83499973976	0
ENST00000352133	0	910.989599975369	0	910.989599975369
ENST00000352178	0	0	0	0
ENST00000352483	5.73972294264955e-06	0	5.73972294264955e-06	0
ENST00000352957	0	2789.18403774049	0	2789.18403774049
ENST00000354192	0	0	0	0
ENST00000354250	0	0	0	0
ENST00000354333	0	0	0	0
ENST00000354749	1.00625554257484	1.86274680469412	1.00625554257484	1.86274680469412
ENST00000354828	0	0	0	0
ENST00000355153	0	0	0	0
ENST00000355189	0	0	0	0
ENST00000355459	0	0	0	0
ENST00000355480	0	0	0	0
ENST00000355666	0	0	0	0
ENST00000355680	0	436.942152237553	0	436.942152237553
ENST00000356275	0	0	0	0
ENST00000356396	0	0	0	0
ENST00000356577	0	0	0	0
ENST00000357345	0	0	0	0
ENST00000357401	0	0	0	0
ENST00000357704	0	0	0	0
ENST00000357903	0	0	0	0
