	a	b	c	d
ENST00000414877	0	0	0	0
ENST00000415023	0	0	0	0
ENST00000415026	0	0	0	0
ENST00000415143	0	0	0	0
ENST00000415147	0	0	0	0
ENST00000415182	387.454248967383	869.020064165779	387.454248967383	869.020064165779
ENST00000415238	0	1868.80517098379	0	1868.80517098379
ENST00000415269	12913.7732614789	0	12913.7732614789	0
ENST00000415820	0	0	0	0
ENST00000415824	0	0	0	0
ENST00000415847	0	0	0	0
ENST00000415863	0	0	0	0
ENST00000415997	0	0	0	0
ENST00000416002	0	0	0	0
ENST00000416034	3490.9874592617	3946.94394689482	3490.9874592617	3946.94394689482
ENST00000416044	0	0	0	0
ENST00000416067	1088.90356144836	610.53237385057	1088.90356144836	610.53237385057
ENST00000416145	0	0	0	0
ENST00000416179	0	0	0	0
ENST00000416182	0	0	0	0
ENST00000416218	0	0	0	0
ENST00000416327	0	0	0	0
ENST00000416357	0	0	0	0
ENST00000416447	0	1301.16245989612	0	1301.16245989612
ENST00000416468	0	0	0	0
ENST00000416555	0	0	0	0
ENST00000416641	0	0	0	0
ENST00000416722	0	0	0	0
ENST00000416754	0	0	0	0
ENST00000416768	0	0	0	0
ENST00000416842	0	0	0	0
ENST00000417007	0	988.683667043667	0	988.683667043667
ENST00000417042	0	0	0	0
ENST00000417060	0	0	0	0
ENST00000417133	0	0	0	0
ENST00000417138	0	0	0	0
ENST00000417181	0	0	0	0
ENST00000417335	0	0	0	0
ENST00000417564	0	0	0	0
ENST00000417820	905.732619131069	1015.50020231882	905.732619131069	1015.50020231882
ENST00000417871	0	0	0	0
ENST00000417954	0	255.964632768171	0	255.964632768171
ENST00000417963	0	0	0	0
ENST00000417979	0	0	0	0
ENST00000418018	0	0	0	0
ENST00000418029	0	0	0	0
ENST00000418103	0	0	0	0
ENST00000418301	1419.33727519502	0	1419.33727519502	0
ENST00000418336	1643.50066879403	0	1643.50066879403	0
ENST00000418394	951.417279902124	0	951.417279902124	0
ENST00000418516	0	0	0	0
ENST00000418544	0	0	0	0
ENST00000418755	0	0	0	0
ENST00000418766	0	0	0	0
ENST00000418813	0	0	0	0
ENST00000418874	0	0	0	0
ENST00000418933	0	0	0	0
ENST00000418942	0	0	0	0
ENST00000418954	0	0	0	0
ENST00000419044	0	0	0	0
ENST00000419069	0	0	0	0
ENST00000419093	0	935.872449575677	0	935.872449575677
ENST00000419219	0	0	0	0
ENST00000419241	0	0	0	0
ENST00000419299	0	0	0	0
ENST00000419324	0	0	0	0
ENST00000419378	0	0	0	0
ENST00000419431	0	0	0	0
ENST00000419461	0	0	0	0
ENST00000419467	0	0	0	0
ENST00000419522	0	0	0	0
ENST00000419628	484.561278129774	543.387276717838	484.561278129774	543.387276717838
ENST00000419664	0	0	0	0
ENST00000419694	1780.26816486988	998.018119425763	1780.26816486988	998.018119425763
ENST00000419699	1793.61169754553	0	1793.61169754553	0
ENST00000419826	0	0	0	0
ENST00000419845	541.28533499627	0	541.28533499627	0
ENST00000419868	0	0	0	0
ENST00000419881	0	0	0	0
ENST00000419906	2673.60421605918	2995.28617879583	2673.60421605918	2995.28617879583
ENST00000419921	0	7054.47650830901	0	7054.47650830901
ENST00000419943	0	0	0	0
ENST00000419952	0	0	0	0
ENST00000420068	0	0	0	0
ENST00000420072	0	0	0	0
ENST00000420074	1019.91419682415	1643.26897963308	1019.91419682415	1643.26897963308
ENST00000420186	0	0	0	0
ENST00000420241	1021.48829606141	0	1021.48829606141	0
ENST00000420255	0	0	0	0
ENST00000420273	0	0	0	0
ENST00000420364	0	0	0	0
ENST00000420455	0	0	0	0
ENST00000420666	0	0	0	0
ENST00000420685	0	0	0	0
ENST00000420877	315.545137329425	353.8788943242	315.545137329425	353.8788943242
ENST00000420965	0	0	0	0
ENST00000421049	0	0	0	0
ENST00000421051	0	0	0	0
ENST00000421454	0	0	0	0
ENST00000421541	794.369592121883	0	794.369592121883	0
ENST00000421604	0	0	0	0
ENST00000421771	0	0	0	0
ENST00000421795	0	0	0	0
ENST00000421802	0	0	0	0
ENST00000421927	0	0	0	0
ENST00000422357	0	0	0	0
ENST00000422473	0	0	0	0
ENST00000422749	0	0	0	0
ENST00000422787	0	0	0	0
ENST00000422809	0	0	0	0
ENST00000422850	0	0	0	0
ENST00000422875	505.250767296242	432.82148579099	505.250767296242	432.82148579099
ENST00000422891	0	0	0	0
ENST00000422911	1.66278583224331	0	1.66278583224331	0
ENST00000423045	769.150970641056	0	769.150970641056	0
ENST00000423089	0	0	0	0
ENST00000423206	0	0	0	0
ENST00000423214	0	626.159170100464	0	626.159170100464
ENST00000423221	0	0	0	0
ENST00000423274	0	0	0	0
ENST00000423276	0	0	0	0
ENST00000423310	0	0	0	0
ENST00000423389	0	0	0	0
ENST00000423581	182.391517749492	561.884107051642	182.391517749492	561.884107051642
ENST00000423596	0	0	0	0
ENST00000423658	0	0	0	0
ENST00000423808	0	0	0	0
ENST00000423967	5593.31757830456	0	5593.31757830456	0
ENST00000424017	0	0	0	0
ENST00000424093	0	0	0	0
ENST00000424203	0	0	0	0
ENST00000424219	0	0	0	0
ENST00000424255	0	0	0	0
ENST00000424290	0	0	0	0
ENST00000424303	0	0	0	0
ENST00000424365	0	0	0	0
ENST00000424441	0	0	0	0
ENST00000424569	492.364762280263	0	492.364762280263	0
ENST00000424582	0	0	0	0
ENST00000424733	0	0	0	0
ENST00000424837	0	0	0	0
ENST00000424890	868.190189109887	0	868.190189109887	0
ENST00000424921	2584.47767275496	2895.54996850531	2584.47767275496	2895.54996850531
ENST00000424933	3125.45044647571	0	3125.45044647571	0
ENST00000425058	0	0	0	0
ENST00000425085	0	0	0	0
ENST00000425091	0	2577.94329187046	0	2577.94329187046
ENST00000425147	8891.35237008421	21923.1653492702	8891.35237008421	21923.1653492702
ENST00000425336	2423.71109510052	2057.44636922827	2423.71109510052	2057.44636922827
ENST00000425376	0	0	0	0
ENST00000425521	0	3714.90580491826	0	3714.90580491826
ENST00000425979	0	0	0	0
ENST00000426029	0	0	0	0
ENST00000426418	0	0	0	0
ENST00000426534	0	0	0	0
ENST00000426537	1142.40557061031	1239.93746965522	1142.40557061031	1239.93746965522
ENST00000426578	0	0	0	0
ENST00000426609	0	7147.60209452245	0	7147.60209452245
ENST00000426672	0	0	0	0
ENST00000426771	0	0	0	0
ENST00000426783	0	0	0	0
ENST00000426819	0	0	0	0
ENST00000426935	0	1368.85262875341	0	1368.85262875341
ENST00000426942	0	0	0	0
ENST00000426947	0	0	0	0
ENST00000427022	0	0	0	0
ENST00000427188	0	0	0	0
ENST00000427301	0	0	0	0
ENST00000427445	0	0	0	0
ENST00000427446	0	0	0	0
ENST00000427447	467.700989755321	275.225247074062	467.700989755321	275.225247074062
ENST00000427451	0	0	0	0
ENST00000427464	0	8.58434689973432	0	8.58434689973432
ENST00000427491	0	0	0	0
ENST00000427746	0	833.218016035463	0	833.218016035463
ENST00000427757	5384.34460299596	0	5384.34460299596	0
ENST00000427803	0	0	0	0
ENST00000427839	0	0	0	0
ENST00000427911	0	0	0	0
ENST00000428205	0	0	0	0
ENST00000428240	0	0	0	0
ENST00000428242	0	0	0	0
ENST00000428301	0	0	0	0
ENST00000428410	0	0	0	0
ENST00000428576	0	0	0	0
ENST00000428667	0	0	0	0
ENST00000428669	0	0	0	0
ENST00000428689	0	0	0	0
ENST00000428693	940.907621429782	0	940.907621429782	0
ENST00000428809	0	0	0	0
ENST00000428914	1615.25502793212	0	1615.25502793212	0
ENST00000429033	0	0	0	0
ENST00000429064	0	0	0	0
ENST00000429093	1523.22284863513	0.196112796391254	1523.22284863513	0.196112796391254
ENST00000429114	0	0	0	0
ENST00000429132	3029.30830198058	2240.6457548766	3029.30830198058	2240.6457548766
ENST00000429161	0	0	0	0
ENST00000429236	761.213357493166	1322.03491734189	761.213357493166	1322.03491734189
ENST00000429238	0	0	0	0
ENST00000429271	5396.70328048791	2016.11865761138	5396.70328048791	2016.11865761138
ENST00000429327	0	0	0	0
ENST00000429340	0	0	0	0
ENST00000429427	0	1097.52759603884	0	1097.52759603884
ENST00000429512	0	0	0	0
ENST00000429521	0	0	0	0
ENST00000429588	1079.82015858332	2421.18546239154	1079.82015858332	2421.18546239154
ENST00000429621	0	0	0	0
ENST00000429727	0	0	0	0
ENST00000429739	0	0	0	0
ENST00000429827	0	0	0	0
ENST00000429843	0	3759.25491434979	0	3759.25491434979
ENST00000429903	0	0	0	0
ENST00000430001	0	0	0	0
ENST00000430013	0	0	0	0
ENST00000430060	0	0	0	0
ENST00000430064	0	0	0	0
ENST00000430068	0	3302.41237843501	0	3302.41237843501
ENST00000430093	0	2.38813754037319	0	2.38813754037319
ENST00000430181	0	0	0	0
ENST00000430247	0	0	0	0
ENST00000430259	1686.34407347953	1418.33979761522	1686.34407347953	1418.33979761522
ENST00000430327	0	0	0	0
ENST00000430354	2025.95364557692	2020.76990926433	2025.95364557692	2020.76990926433
ENST00000430391	1279.39797872763	1434.21425043093	1279.39797872763	1434.21425043093
ENST00000430401	0	3379.41537121229	0	3379.41537121229
ENST00000430538	0	0	0	0
ENST00000430607	0	0	0	0
ENST00000430635	0	0	0	0
ENST00000430792	503.196135115319	2563.70509912149	503.196135115319	2563.70509912149
ENST00000430815	0	0	0	0
ENST00000430860	0	0	0	0
ENST00000430874	0	0	0	0
ENST00000430922	0	909.940355731125	0	909.940355731125
ENST00000431150	6518.25858573248	0	6518.25858573248	0
ENST00000431166	0	0	0	0
ENST00000431167	0	0	0	0
ENST00000431177	0	0	0	0
ENST00000431216	598.724053564673	0	598.724053564673	0
ENST00000431229	0	0	0	0
ENST00000431234	3910.76253616889	2192.28827218871	3910.76253616889	2192.28827218871
ENST00000431254	0	0	0	0
ENST00000431297	0	0	0	0
ENST00000431390	0	0	0	0
ENST00000431599	0	0	0	0
ENST00000431628	0	0	0	0
ENST00000431661	0	0	0	0
ENST00000431743	0	0	0	0
ENST00000431829	0	0	0	0
ENST00000431901	0	0	0	0
ENST00000432085	0	0	0	0
ENST00000432141	0	0	0	0
ENST00000432178	4069.9814143569	2324.06431545342	4069.9814143569	2324.06431545342
ENST00000432230	422.046026666207	314.549930557335	422.046026666207	314.549930557335
ENST00000432231	0	0	0	0
ENST00000432278	0	0	0	0
ENST00000432378	0	0	0	0
ENST00000432411	5701.09585367063	9579.81035298241	5701.09585367063	9579.81035298241
ENST00000432412	0	0	0	0
ENST00000432504	0	0	0	0
ENST00000432621	852.92187438239	1718.56517687712	852.92187438239	1718.56517687712
ENST00000432735	0	0	0	0
ENST00000432830	0	0	0	0
ENST00000432875	0	0	0	0
ENST00000432907	0	0	0	0
ENST00000432988	1454.30654515476	459.705623448633	1454.30654515476	459.705623448633
ENST00000433067	0	0	0	0
ENST00000433071	0	1343.3740036172	0	1343.3740036172
ENST00000433101	0	0	0	0
ENST00000433210	0	0	0	0
ENST00000433303	0	0	0	0
ENST00000433310	0	0	0	0
ENST00000433312	0	0	0	0
ENST00000433344	0	0	0	0
ENST00000433378	0	0	0	0
ENST00000433383	0	0	0	0
ENST00000433395	0	0	0	0
ENST00000433427	2371.06636833311	0	2371.06636833311	0
ENST00000433465	0	0	0	0
ENST00000433524	0	0	0	0
ENST00000433588	0	0	0	0
ENST00000433806	0	437.519774928798	0	437.519774928798
ENST00000433840	0	0	0	0
ENST00000433931	0	0	0	0
ENST00000433951	830.09153295543	930.723096901748	830.09153295543	930.723096901748
ENST00000433952	0	0	0	0
ENST00000433957	0	0	0	0
ENST00000434081	0	0	0	0
ENST00000434195	0	0	0	0
ENST00000434281	0	0	0	0
ENST00000434589	0	0	0	0
ENST00000434667	0	0	0	0
ENST00000434853	0	0	0	0
ENST00000434859	2307.47758016897	0	2307.47758016897	0
ENST00000435001	0	0	0	0
ENST00000435072	0	0	0	0
ENST00000435181	0	0	0	0
ENST00000435279	0	0	0	0
ENST00000435315	0	3342.52993073115	0	3342.52993073115
ENST00000435323	0	0	0	0
ENST00000435493	0	0	0	0
ENST00000435590	0	0	0	0
ENST00000435600	0	0	0	0
ENST00000435608	0	0	0	0
ENST00000435611	0	0	0	0
ENST00000435697	0	0	0	0
ENST00000435702	0	0	0	0
ENST00000435722	0	0.0148088209350801	0	0.0148088209350801
ENST00000435732	0	0	0	0
ENST00000435738	0	0	0	0
ENST00000435744	0	0	0	0
ENST00000435878	0	0	0	0
ENST00000436227	0	0	0	0
ENST00000436303	0	0	0	0
ENST00000436324	0	0	0	0
ENST00000436357	0	0	0	0
ENST00000436359	0	0	0	0
ENST00000436373	0	0	0	0
ENST00000436405	0	0	0	0
ENST00000436410	1001.25603103596	0	1001.25603103596	0
ENST00000436429	0	0	0	0
ENST00000436529	0	1377.420059003	0	1377.420059003
ENST00000436765	0	0	0	0
ENST00000436769	647.940502993283	0	647.940502993283	0
ENST00000436845	0	0	0	0
ENST00000436878	0	0	0	0
ENST00000437106	748.362674114432	839.116566539309	748.362674114432	839.116566539309
ENST00000437109	0	0	0	0
ENST00000437126	0	0	0	0
ENST00000437180	0	504.520572691501	0	504.520572691501
ENST00000437194	0	0	0	0
ENST00000437238	0	0	0	0
ENST00000437258	0	2536.08467239231	0	2536.08467239231
ENST00000437262	966.71874854418	1083.84818562793	966.71874854418	1083.84818562793
ENST00000437338	0	0	0	0
ENST00000437395	0	0	0	0
ENST00000437426	0	0	0	0
ENST00000437492	1143.52838773599	3845.94105075567	1143.52838773599	3845.94105075567
ENST00000437557	1710.40848918889	2372.17929318512	1710.40848918889	2372.17929318512
ENST00000437626	0	0	0	0
ENST00000437996	0	0	0	0
ENST00000438055	0	0	0	0
ENST00000438059	0	2305.50046803648	0	2305.50046803648
ENST00000438328	0	0	0	0
ENST00000438404	0	0	0	0
ENST00000438657	656.161872097002	495.457331945776	656.161872097002	495.457331945776
ENST00000438788	0	0	0	0
ENST00000438837	0	0	0	0
ENST00000438852	0	0	0	0
ENST00000438952	1706.11317128069	0	1706.11317128069	0
ENST00000439088	0	0	0	0
ENST00000439107	0	0	0	0
ENST00000439213	2691.91858734084	3583.48775746205	2691.91858734084	3583.48775746205
ENST00000439274	839.105772875555	1904.38266614489	839.105772875555	1904.38266614489
ENST00000439392	0	0	0	0
ENST00000439427	0	0	0	0
ENST00000439593	2196.41625618666	0	2196.41625618666	0
ENST00000439840	0	0	0	0
ENST00000439851	0	0	0	0
ENST00000440052	926.275498906991	265.328652267577	926.275498906991	265.328652267577
ENST00000440086	0	0	0	0
ENST00000440126	0	0	0	0
ENST00000440205	1372.24278951273	0	1372.24278951273	0
ENST00000440221	0	0	0	0
ENST00000440288	0	0	0	0
ENST00000440363	0	0	0	0
ENST00000440372	0	0	0	0
ENST00000440379	0	0	0	0
ENST00000440403	0	0	0	0
ENST00000440405	0	0	0	0
ENST00000440526	2613.81689817141	0	2613.81689817141	0
ENST00000440620	0	0	0	0
ENST00000440629	0	5036.44087213478	0	5036.44087213478
ENST00000440664	0	0	0	0
ENST00000440714	0	0	0	0
ENST00000440794	0	0	0	0
ENST00000440810	0	0	0	0
ENST00000440966	2.02940383404831	0	2.02940383404831	0
ENST00000441009	304.753997582834	341.778429869067	304.753997582834	341.778429869067
ENST00000441013	0	0	0	0
ENST00000441030	0	0	0	0
ENST00000441095	1907.98653100487	1866.01913086118	1907.98653100487	1866.01913086118
ENST00000441128	0	0	0	0
ENST00000441268	0	0	0	0
ENST00000441283	0	0	0	0
ENST00000441379	1598.97008397598	472.456859165573	1598.97008397598	472.456859165573
ENST00000441403	0	0	0	0
ENST00000441465	0	0	0	0
ENST00000441666	0	0	0	0
ENST00000441677	4545.98381203168	988.092602528878	4545.98381203168	988.092602528878
ENST00000441759	0	0	0	0
ENST00000441787	0	0	0	0
ENST00000441820	0	0	0	0
ENST00000441910	0	0	0	0
ENST00000441940	0	0	0	0
ENST00000441947	0	0	0	0
ENST00000442071	0	0	0	0
ENST00000442192	0	0	0	0
ENST00000442212	0	0	0	0
ENST00000442434	3064.63893331825	0	3064.63893331825	0
ENST00000442441	0	0	0	0
ENST00000442448	0	0	0	0
ENST00000442550	0	0	0	0
ENST00000442559	0	0	0	0
ENST00000442605	1938.3234402218	4344.48525828153	1938.3234402218	4344.48525828153
ENST00000442660	0	0	0	0
ENST00000442773	0	0	0	0
ENST00000442785	0	0	0	0
ENST00000442815	886.725854403711	1325.94377088809	886.725854403711	1325.94377088809
ENST00000443046	0	0	0	0
ENST00000443073	0	0	0	0
ENST00000443300	826.551615659969	926.75548555246	826.551615659969	926.75548555246
ENST00000443341	0	0	0	0
ENST00000443408	0	0	0	0
ENST00000443479	0	0	0	0
ENST00000443485	100.502591500982	112.278595222836	100.502591500982	112.278595222836
ENST00000443486	0	0	0	0
ENST00000443620	0	0	0	0
ENST00000443703	0	0	0	0
ENST00000443742	0	0	0	0
ENST00000443785	0	0	0	0
ENST00000444036	0	0	0	0
ENST00000444046	0	0	0	0
ENST00000444130	2982.12258369198	3340.47017430346	2982.12258369198	3340.47017430346
ENST00000444161	0	0	0	0
ENST00000444178	0	0	0	0
ENST00000444306	0	0	0	0
ENST00000444335	0	0	0	0
ENST00000444356	0	0	0	0
ENST00000444409	0	3914.26156174606	0	3914.26156174606
ENST00000444491	0	0	0	0
ENST00000444517	0	0	0	0
ENST00000444868	0	3302.41237843501	0	3302.41237843501
ENST00000444889	0	0	0	0
ENST00000444901	276.298487735364	309.869765841036	276.298487735364	309.869765841036
ENST00000444966	0	0	0	0
ENST00000444977	0	0	0	0
ENST00000444998	768.380457719002	1292.55066658107	768.380457719002	1292.55066658107
ENST00000445049	0	0	0	0
ENST00000445197	0	0	0	0
ENST00000445242	0	0	0	0
ENST00000445245	0	0.000109796275437777	0	0.000109796275437777
ENST00000445258	0	0	0	0
ENST00000445341	0	0	0	0
ENST00000445393	0	0	0	0
ENST00000445440	0	0	0	0
ENST00000445461	0	0	0	0
ENST00000445464	0	0	0	0
ENST00000445481	0	0	0	0
ENST00000445582	3045.12339766351	0	3045.12339766351	0
ENST00000445668	0	0	0	0
ENST00000445724	0	0	0	0
ENST00000445935	0	0	0	0
ENST00000446166	0	0	0	0
ENST00000446301	0	0	0	0
ENST00000446404	2124.20104677156	0	2124.20104677156	0
ENST00000446405	0	0	0	0
ENST00000446475	0	0	0	0
ENST00000446649	0	0	0	0
ENST00000446910	0	0	0	0
ENST00000446924	0	0	0	0
ENST00000447016	405.447754558746	0.136048949276572	405.447754558746	0.136048949276572
ENST00000447037	0	0	0	0
ENST00000447052	0	1540.95671847396	0	1540.95671847396
ENST00000447125	2550.37856711943	1429.49892860783	2550.37856711943	1429.49892860783
ENST00000447175	0	0	0	0
ENST00000447177	986.549565843344	0	986.549565843344	0
ENST00000447207	0	293.58997198075	0	293.58997198075
ENST00000447384	0	0	0	0
ENST00000447405	0	0	0	0
ENST00000447535	0	0	0	0
ENST00000447844	3306.28243036279	12970.1420098165	3306.28243036279	12970.1420098165
ENST00000447861	251.310540697598	281.84880162376	251.310540697598	281.84880162376
ENST00000447938	0	0	0	0
ENST00000447939	0	5155.88658374093	0	5155.88658374093
ENST00000447980	2814.22115257937	2879.25107145041	2814.22115257937	2879.25107145041
ENST00000447985	1026.20603591177	1150.77349603111	1026.20603591177	1150.77349603111
ENST00000448049	0	0	0	0
ENST00000448054	0	0	0	0
ENST00000448063	0	0	0	0
ENST00000448152	0	0	0	0
ENST00000448247	166.142585490664	587.664807113286	166.142585490664	587.664807113286
ENST00000448287	0	0	0	0
ENST00000448288	0	0	0	0
ENST00000448340	0	0	0	0
ENST00000448463	1281.51276146473	0	1281.51276146473	0
ENST00000448579	0	0	0	0
ENST00000448649	2385.65851363328	2673.03501773835	2385.65851363328	2673.03501773835
ENST00000448832	0	0	0	0
ENST00000448845	0	4001.42943574127	0	4001.42943574127
ENST00000448850	0	1244.26213437102	0	1244.26213437102
ENST00000448908	0	0	0	0
ENST00000448927	891.95994038272	1384.61355146602	891.95994038272	1384.61355146602
ENST00000449165	0	0	0	0
ENST00000449214	0	0	0	0
ENST00000449339	1130.16868936528	844.95474701246	1130.16868936528	844.95474701246
ENST00000449395	144.258486757454	0	144.258486757454	0
ENST00000449478	0	0	0	0
ENST00000449491	2633.85408468735	1121.34493147629	2633.85408468735	1121.34493147629
ENST00000449602	0	0	0	0
ENST00000449622	0	0	0	0
ENST00000449640	0	0	0	0
ENST00000449713	0	0	0	0
ENST00000449746	0	0	0	0
ENST00000449840	0	0	0	0
ENST00000449877	0	0	0	0
ENST00000449923	0	0	0	0
ENST00000449949	0	0	0	0
ENST00000450007	0	2829.59658174759	0	2829.59658174759
ENST00000450079	0	0	0	0
ENST00000450121	1043.48599030801	0	1043.48599030801	0
ENST00000450190	0.975626062955995	1.58562286073533	0.975626062955995	1.58562286073533
ENST00000450205	0	0	0	0
ENST00000450351	0	0	0	0
ENST00000450472	2034.9331496997	0	2034.9331496997	0
ENST00000450533	0	0	0	0
ENST00000450653	0	0	0	0
ENST00000450769	0	0	0	0
ENST00000450823	0	0	0	0
ENST00000450830	0	0	0	0
ENST00000450880	0	0	0	0
ENST00000450895	0	0	0	0
ENST00000450928	0	0	0	0
ENST00000450936	1904.98441664688	0	1904.98441664688	0
ENST00000451035	0	0	0	0
ENST00000451052	0	0	0	0
ENST00000451065	0	0	0	0
ENST00000451131	0	0	0	0
ENST00000451211	0	0	0	0
ENST00000451248	0	0	0	0
ENST00000451410	0	0	0	0
ENST00000451462	0	0	0	0
ENST00000451489	0	2280.47854584347	0	2280.47854584347
ENST00000451543	0	0	0	0
ENST00000451615	0	2803.69103461189	0	2803.69103461189
ENST00000451618	0	429.785511607274	0	429.785511607274
ENST00000451645	0	0	0	0
ENST00000451655	0	0	0	0
ENST00000451663	0	0	0	0
ENST00000451686	0	0	0	0
ENST00000451820	0	0	0	0
ENST00000451980	0	0	0	0
ENST00000452028	0	0	0	0
ENST00000452420	0	0	0	0
ENST00000452460	0	0	0	0
ENST00000452500	0	0	0	0
ENST00000452550	0	0	0	0
ENST00000452561	0	0	0	0
ENST00000452572	1087.39275885752	0	1087.39275885752	0
ENST00000452969	0	0	0	0
ENST00000453032	0	0	0	0
ENST00000453159	585.574178811182	0	585.574178811182	0
ENST00000453420	464.170370692119	266.969020086282	464.170370692119	266.969020086282
ENST00000453500	0	0	0	0
ENST00000453549	0	1463.1726345896	0	1463.1726345896
ENST00000453553	0	0	0	0
ENST00000453626	6.83325901566661e-05	0.00010136349846487	6.83325901566661e-05	0.00010136349846487
ENST00000453699	0	0	0	0
ENST00000453716	0	0	0	0
ENST00000453784	2248.14134761247	2161.37691673526	2248.14134761247	2161.37691673526
ENST00000453802	0	2161.4440701343	0	2161.4440701343
ENST00000453844	2646.22741515325	2964.65126468397	2646.22741515325	2964.65126468397
ENST00000453910	0	0	0	0
ENST00000454115	5766.0129821811	0	5766.0129821811	0
ENST00000454128	1209.53770592764	1355.94219663817	1209.53770592764	1355.94219663817
ENST00000454157	0	0	0	0
ENST00000454182	0	0	0	0
ENST00000454245	0	0	0	0
ENST00000454365	0	0	0	0
ENST00000454482	0	0	0	0
ENST00000454499	0	0	0	0
ENST00000454567	0	0	0	0
ENST00000454622	0	0	0	0
ENST00000454737	0	0	0	0
ENST00000454795	0	0	0	0
ENST00000454800	0	608.822583278025	0	608.822583278025
ENST00000454921	0	0	0	0
ENST00000454980	1635.70222379693	0	1635.70222379693	0
ENST00000455028	0	0	0	0
ENST00000455097	0	0	0	0
ENST00000455116	0	0	0	0
ENST00000455164	3344.70104914924	0	3344.70104914924	0
ENST00000455170	0	0	0	0
ENST00000455177	0	0	0	0
ENST00000455253	0	0	0	0
ENST00000455275	0	0	0	0
ENST00000455354	0	0	0	0
ENST00000455391	0	0	0	0
ENST00000455392	0	0	0	0
ENST00000455508	0	0	0	0
ENST00000455528	0	0	0	0
ENST00000455567	2271.8139628617	808.803938481882	2271.8139628617	808.803938481882
ENST00000455571	0	3008.12703080893	0	3008.12703080893
ENST00000455701	0	0	0	0
ENST00000455813	0	0	0	0
ENST00000455867	0	254.513659448174	0	254.513659448174
ENST00000455939	0	0	0	0
ENST00000456017	0	0	0	0
ENST00000456084	0	0	0	0
ENST00000456342	0	0	0	0
ENST00000456489	0	0	0	0
ENST00000456507	0	0	0	0
ENST00000456613	0	0	0	0
ENST00000456705	0	0	0	0
ENST00000456825	0	0	0	0
ENST00000456880	0	0	0	0
ENST00000456904	0	0	0	0
ENST00000456917	9793.25466337019	10981.872477364	9793.25466337019	10981.872477364
ENST00000456957	0	4410.59110242204	0	4410.59110242204
ENST00000456966	835.635151972429	0	835.635151972429	0
ENST00000457068	0	0	0	0
ENST00000457143	1872.77285835908	0	1872.77285835908	0
ENST00000457157	0	0	0	0
ENST00000457162	1252.52761875018	0	1252.52761875018	0
ENST00000457208	0	0	0	0
ENST00000457325	0	0	0	0
ENST00000457359	369.540237709238	828.847387252612	369.540237709238	828.847387252612
ENST00000457565	0	0	0	0
ENST00000457669	0	0	0	0
ENST00000457709	0	0	0	0
ENST00000457807	0	0	0	0
ENST00000457828	0.0612262769988401	931.541488480349	0.0612262769988401	931.541488480349
ENST00000457881	0	0	0	0
ENST00000457905	0	0	0	0
ENST00000457956	0	0	0	0
ENST00000458015	0	0	0	0
ENST00000458138	0	0	0	0
ENST00000458223	0	0	0	0
ENST00000458295	0	0	0	0
ENST00000458316	0	917.950866170636	0	917.950866170636
ENST00000458356	0	0	0	0
ENST00000458387	0	0	0	0
ENST00000458479	0	322.140798459172	0	322.140798459172
ENST00000458495	0	0	0	0
ENST00000458654	0	0	0	0
ENST00000458922	22797.7176771739	22798.3440318305	22797.7176771739	22798.3440318305
ENST00000458992	0	0	0	0
ENST00000459639	421.935764512977	459.004630714074	421.935764512977	459.004630714074
ENST00000459741	337.422525682154	0	337.422525682154	0
ENST00000459833	0	0	0	0
ENST00000459895	0	0	0	0
ENST00000459909	1750.17002496211	0	1750.17002496211	0
ENST00000459922	0	0	0	0
ENST00000459939	1292.19241808529	0	1292.19241808529	0
ENST00000460011	0	0	0	0
ENST00000460020	0	0	0	0
ENST00000460174	0	0	0	0
ENST00000460207	0	0	0	0
ENST00000460212	0	0	0	0
ENST00000460259	0	0	0	0
ENST00000460305	0	3033.20957003216	0	3033.20957003216
ENST00000460328	1948.0642864843	0	1948.0642864843	0
ENST00000460521	0	0	0	0
ENST00000460557	0	0	0	0
ENST00000460679	0	0	0	0
ENST00000460704	0	0	0	0
ENST00000460734	330.193661890697	0	330.193661890697	0
ENST00000460740	2438.09394478209	1366.59674482839	2438.09394478209	1366.59674482839
ENST00000460783	376.357142243666	0	376.357142243666	0
ENST00000460883	0	0	0	0
ENST00000460886	0	0	0	0
ENST00000460905	0	0	0	0
ENST00000460932	0	0	0	0
ENST00000460989	0	1504.48783877476	0	1504.48783877476
ENST00000461088	0	0	0	0
ENST00000461123	0	0	0	0
ENST00000461281	0	0	0	0
ENST00000461686	781.934041227075	0	781.934041227075	0
ENST00000461785	0	0	0	0
ENST00000461889	0	0	0	0
ENST00000462050	0	0	0	0
ENST00000462212	0	0	0	0
ENST00000462214	0	0	0	0
ENST00000462224	0	0	0	0
ENST00000462262	0	968.021610133523	0	968.021610133523
ENST00000462267	0	0	0	0
ENST00000462274	0	0	0	0
ENST00000462349	898.385821135609	0	898.385821135609	0
ENST00000462467	0	0	0	0
ENST00000462566	0	0	0	0
ENST00000462569	0	1480.61149910935	0	1480.61149910935
ENST00000462571	0	0	0	0
ENST00000462742	212.129634022128	289.104910857671	212.129634022128	289.104910857671
ENST00000463060	0	0	0	0
ENST00000463070	0	0	0	0
ENST00000463099	0	0	0	0
ENST00000463138	0	0	0	0
ENST00000463216	2324.77557222654	0	2324.77557222654	0
ENST00000463276	0	0	0	0
ENST00000463599	0	0	0	0
ENST00000463631	0	0	0	0
