	target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
1	ENST00000291572	0.000475826699683088	0.0192635205452411	12.208092138886	7.61352517497847	1	0.686483673598013	2.53784172499282	0.253926854086802	2.28391487090602	0	2.28391487090602
2	ENST00000474114	0.000614793208890673	0.0192635205452411	11.7306438034432	6.89336636846477	1	0.619613876188842	2.29778878948826	0.259055310445642	2.03873347904262	0	2.03873347904262
3	ENST00000491703	0.000363311348596455	0.0192635205452411	12.7120273327059	5.53856301808179	1	0.483560410356527	1.84618767269393	0.16285679253555	1.68333088015838	0	1.68333088015838
4	ENST00000327505	0.00369122072026343	0.0315431588822512	8.42979443388094	6.20469525376933	1	0.552314163753891	2.06823175125644	0.532190062716061	1.53604168854038	0	1.53604168854038
5	ENST00000351429	0.00307716136685795	0.0315431588822512	8.76114301061234	8.35291434465235	1	0.75192326276214	2.78430478155078	0.659490613260539	2.12481416829024	0	2.12481416829024
6	ENST00000398158	0.00150643653007	0.0315431588822512	10.0707261028525	8.00824850730205	1	0.721795265911116	2.66941616910068	0.455745043724701	2.21367112537598	0	2.21367112537598
7	ENST00000438952	0.00307416706562537	0.0315431588822512	8.76291858391178	7.42348883091835	1	0.66915682652863	2.47449627697278	0.585849238243953	1.88864703872883	0	1.88864703872883
8	ENST00000471909	0.00295772181676188	0.0315431588822512	8.83336699744625	9.57558074177698	1	0.854074582938825	3.19186024725899	0.742495957384949	2.44936428987404	0	2.44936428987404
9	ENST00000491298	0.00217437104141463	0.0315431588822512	9.39618764891766	6.38725505500856	1	0.570503785392338	2.12908501833619	0.430264736415981	1.6988202819202	0	1.6988202819202
10	ENST00000496121	0.00193981456832925	0.0315431588822512	9.60563244082495	6.83851596541982	1	0.614380636105901	2.27950532180661	0.437162781777602	1.84234254002901	0	1.84234254002901
11	ENST00000613488	0.0034456928487268	0.0315431588822512	8.55502756697396	6.9461580968951	1	0.624631072494708	2.31538603229836	0.577422834461466	1.7379631978369	0	1.7379631978369
12	ENST00000270162	0.00680182258654907	0.0383406894038609	7.3245702595628	5.50318524512413	1	0.479796258520146	1.83439508170804	0.622241004978893	1.21215407672915	0	1.21215407672915
13	ENST00000286827	0.00681259275628588	0.0383406894038609	7.32172669665679	9.78214735682189	1	0.8706800118762	3.2607157856073	1.10684659097384	2.15386919463346	0	2.15386919463346
14	ENST00000303775	0.00760421540432738	0.0383406894038609	7.12439301510039	5.99988812646266	1	0.532294996946803	1.99996270882089	0.713216884507082	1.28674582431381	0	1.28674582431381
15	ENST00000397728	0.00665407099413019	0.0383406894038609	7.36405097793705	7.65389782547679	1	0.690136758611329	2.55129927515893	0.856920615464404	1.69437865969452	0	1.69437865969452
16	ENST00000397857	0.00774147464949936	0.0383406894038609	7.09232511364991	10.4638698365489	1	0.926048005791937	3.48795661218298	1.25387002484409	2.23408658733889	0	2.23408658733889
17	ENST00000398505	0.0050529163094681	0.0383406894038609	7.86040177594037	6.13936416217663	1	0.54573983630001	2.04645472072554	0.607142622551232	1.43931209817431	0	1.43931209817431
18	ENST00000497547	0.00542057525127179	0.0383406894038609	7.73349407623888	7.92725859247139	1	0.71462220684619	2.64241953082379	0.809224795089929	1.83319473573387	0	1.83319473573387
19	ENST00000630077	0.00774971381567401	0.0383406894038609	7.09041873066345	7.0467187988155	1	0.634135645255214	2.34890626627183	0.84480040936632	1.50410585690551	0	1.50410585690551
20	ENST00000398457	0.00884687694060045	0.0401616952621971	6.85348035849752	6.00336062176628	1	0.531940634840065	2.00112020725543	0.763636825417257	1.23748338183817	0	1.23748338183817
21	ENST00000481546	0.00939954569966316	0.0401616952621971	6.74529075342487	7.36170918662176	1	0.663476310558884	2.45390306220726	0.962094264760201	1.49180879744705	0	1.49180879744705
22	ENST00000541036	0.00924935910146194	0.0401616952621971	6.77403298185444	9.35179761037066	1	0.835888267882198	3.11726587012355	1.213426345575	1.90383952454855	0	1.90383952454855
23	ENST00000397852	0.0120934809986779	0.0473661339114883	6.29711243044818	9.68476795630099	1	0.86287081068413	3.22825598543366	1.41575639240749	1.81249959302617	0	1.81249959302617
24	ENST00000455164	0.0117965393298752	0.0473661339114883	6.34119481474053	9.68509395832245	1	0.862896999269346	3.22836465277415	1.40028670632383	1.82807794645032	0	1.82807794645032
25	ENST00000398600	0.0135925929501137	0.0511081494924274	6.09030098950033	5.76581414440578	1	0.507458306726134	1.92193804813526	0.887593713645912	1.03434433448935	0	1.03434433448935
26	ENST00000291592	0.0208741075804812	0.0733599977828657	5.33727257851277	0.590001605055826	1	2.34552783249265	0.196667201685276	0.109639183469971	0.0870280182153044	0	0.0870280182153044
27	ENST00000623476	0.0210714887248657	0.0733599977828657	5.32086997890075	7.04849388615508	1	0.634302807778135	2.34949796205169	1.31519399233636	1.03430396971533	0	1.03430396971533
28	ENST00000425147	0.0280621218114492	0.0942085517955795	4.82424691056808	0.71325079476335	1	2.07501058067275	0.237750264921117	0.150680106266116	0.0870701586550006	0	0.0870701586550006
29	ENST00000381151	0.0343493738569593	0.111339349743247	4.47722880137816	0.522275096411164	1	2.28620889244121	0.174091698803721	0.120334451837604	0.0537572469661176	0	0.0537572469661176
30	ENST00000447844	0.0366374644323519	0.114797388554703	4.36718520668525	1.43489907286839	1	1.46960441938098	0.47829969095613	0.33982854223996	0.13847114871617	0	0.13847114871617
31	ENST00000311124	0.0414945367161125	0.125822143590793	4.1557033679767	1.23044208467948	1	1.51706633247181	0.410147361559828	0.307228162405104	0.102919199154724	0	0.102919199154724
