Gene	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
"6171"	3885.263490275	3869.23622515061	3792.44564398022	3466.40326612318	3424.24873270798	3362.93473167742
"6222"	3144.59349183235	3118.3244560343	2939.85011324536	2533.01878410386	2526.57094873321	2426.84820546896
"6223"	2670.22752304796	2686.97339005213	2606.2806985743	2856.90099735898	2625.68789323534	2599.35438737918
"6232"	2291.80292086481	2445.79568898699	2274.68225036981	2380.38453411175	2426.5022038169	2414.242998558
"6168"	2513.52144255209	2436.33825809515	2294.40843028099	2202.88063834236	2204.98604486622	2065.58644433249
"6187"	2502.99298054359	2499.61364692497	2514.61883722195	2007.56157052836	1996.51231189686	1969.89956441526
"6134"	2393.97381776613	2435.88769789189	2348.06738577139	2088.2858681875	2099.51878694326	2007.68503280854
"6124"	2227.291260953	2341.57329842475	2228.56168279198	1933.21385602057	1907.45963671666	1833.3424509814
"6218"	2398.86494843018	2371.88657308266	2221.61029325788	1872.37695712959	1834.64064703242	1712.01658787074
"6137"	2166.97442226493	2159.95071512192	2128.92670243073	1994.53145988476	1939.97974619274	1986.26461887761
"23521"	1965.50985697397	1996.88372041783	1868.09287452751	2042.03181304581	1928.494690007	1958.78884512107
"6205"	1912.99416006837	1874.34497352115	1870.03362154665	1976.88796026465	1902.03269566888	1931.07522451126
"6175"	2076.74065429691	2084.85763890885	2087.22940034633	1722.44093545189	1724.97306262546	1713.24160346333
"6229"	1944.44046766785	1952.0184686609	1841.06102173674	1863.23507981119	1756.74675011496	1786.92214268131
"6160"	1895.13585161374	1893.47669452281	1783.55384180534	1692.94557817005	1748.09530978055	1730.05046363037
"6132"	1890.37382107818	1822.20653501687	1900.41289325596	1603.67297715331	1555.33245052136	1549.62526976665
"6157"	1777.59982612135	1780.38440187113	1686.05238054505	1553.85851786512	1567.83902794873	1441.6269701757
"6130"	1888.86774600379	1825.01198992736	1776.36028863951	1444.05820906441	1424.10228712023	1393.51267302686
"6235"	1884.38191396615	1866.95840930701	1713.75717453834	1464.11077218513	1448.50378202275	1350.58302046923
"6143"	1807.67448005614	1815.20644432117	1742.47174249727	1473.87158733971	1460.0099034863	1420.6357382243
"6138"	1679.3518490396	1661.32860975055	1633.21767622848	1494.15796845849	1452.78740169992	1464.28561713551
"6155"	1880.7426635422	1649.73210458812	1676.88764473893	1417.66239579986	1448.25862311073	1297.14258151695
