Gene	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
"811"	1902.50923207348	1798.94105177752	1827.26510555623	2324.91837042337	2169.61922089969	2163.32777347607
"3312"	1821.93105347459	1877.77079854964	1881.38574306031	1765.94867309359	1619.98455616165	1738.03740253356
"5034"	1213.90950876126	1187.44886327277	1223.4672531851	1060.64874285664	1097.52067300124	1033.13656866399
"7184"	760.692938593914	700.293710227947	745.581757876299	818.744770253636	807.482839179232	797.134547389746
"2923"	697.34356994764	691.489192989761	693.160361123652	776.998061045853	741.134794356107	729.568661895491
"6500"	646.085855749228	650.520791138715	648.595857593548	800.886636904845	786.126904033656	785.009477971709
"3326"	753.140443833121	754.811908726404	771.642780886763	633.825485824009	623.216638354252	628.507894637352
"821"	667.439960801313	628.313952580913	664.80746228632	746.837345770288	703.921027996917	730.970235251801
"3309"	620.952264598501	594.320395382963	611.5414688877	750.226293958812	689.891408801958	722.1083720706
"3320"	671.860040246092	667.627339142795	687.776777763344	524.234535662669	500.278007197036	530.653818273133
"10970"	572.147816812219	576.997235925408	591.361043119824	517.763943790517	527.990016950189	509.223579642533
"29927"	526.049176694177	531.982777759585	543.034407367633	498.272678791833	502.01582849362	480.945824848069
"581"	321.068874250616	282.306883959296	358.355470176243	611.192618663103	581.870574204522	651.030554422725
"6746"	453.600426586932	450.364725511548	450.884754545695	479.91715524045	480.21353156751	484.107412088746
"824"	545.671998028078	557.226283673435	562.220734152632	331.801695245958	332.026205789848	315.296546121367
"23480"	418.373233711306	413.575009193603	414.661917900106	427.300396265404	436.833305238386	417.130704352454
"10130"	419.620927081629	402.46981031886	404.59549734103	432.929854969363	401.626074143012	411.406865647195
"10952"	383.956354938495	417.842122767651	381.775971669933	369.720794643614	372.717902703574	357.845272370948
"1603"	326.750492040369	342.022221186957	332.68408124932	389.58915708148	359.607958918789	377.752490018634
"6747"	461.708461730029	451.737955944999	456.528389969115	256.715462121583	260.004880530677	237.102158258892
"7415"	341.652810345105	330.585234698363	329.016607376915	371.865869689085	372.761525902172	373.147037060516
"7323"	308.354657674615	294.986668952661	290.580536358086	419.353011254251	397.274265798203	406.161514291723
"6748"	320.856957138442	323.241583691357	296.44985711841	414.989999125846	374.1822152726	380.584244978602
"5589"	308.325597686404	293.086778112169	317.559000518931	366.09487018704	358.427771581734	372.609898182949
"22872"	308.942195076419	297.594727984331	297.441513811803	356.205258660278	381.331495358047	359.223855531511
"6238"	359.649011205144	348.687847352503	355.343066844043	318.820920359284	308.80149786765	294.004592118421
"23193"	329.939548995309	317.264267207795	326.320048007705	329.821438835456	321.528914243554	324.655080486861
"3703"	292.647017134166	280.441297731815	294.588637339734	353.994935497082	352.90660026518	352.741130522628
"6185"	320.076646222669	322.83649844621	341.048874836572	313.710015800457	315.000146938766	309.595801982567
"468"	360.620852058433	343.872348276837	325.698515034888	292.599993050566	292.156818451586	292.088932841848
"1650"	277.408133243646	269.410444038548	272.622005188231	311.972461537065	308.441956094289	314.932119669727
"6184"	283.330465879567	268.412298688584	281.925201695323	304.062487927982	302.535313564682	298.394790545688
"23471"	312.935802283019	313.322756285168	309.935361833755	249.453828679158	270.516903671887	252.065622313187
"10134"	251.86807757189	243.953690752111	238.227911681824	310.351076710174	302.51059115795	334.365376426065
"81567"	334.248114699642	325.193020377153	336.050623753285	221.721890802245	223.730519774816	204.720565893678
