Gene	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
"1277"	7162.46117488743	6618.00747512178	6966.47295180436	8309.51450154934	8698.8796827827	7998.87051862468
"60"	7888.04643025487	7934.65510050672	8266.79640858989	4078.80066489312	4461.32297997086	4031.31940858634
"2335"	7410.71848856018	7047.16405658043	7129.11753280978	5041.85881770724	5503.20141749742	4303.3867688001
"71"	6771.09432437775	6740.91441048782	7094.33900790819	3900.67161499597	4131.46269145461	3879.75822649135
"1278"	4995.38250692606	4661.11112416349	4876.29336927844	5498.26139754184	5770.92238847709	5126.80794628101
"3688"	2273.46148505426	2264.05346393381	2251.6249422982	1578.03826529284	1735.90484635544	1625.95659820902
"1292"	1630.16273505763	1531.52272554293	1633.87170274339	1866.61270382765	1848.07947709587	1884.2371974922
"7057"	1864.95501764831	1919.74554229307	1969.02091266996	1466.47062319548	1694.21246060461	1359.23286367768
"1293"	1730.08256827338	1674.62632688343	1670.37702001026	1688.29186041962	1700.50281517303	1574.51773431463
"1291"	1415.45695334795	1361.96679814739	1417.37471269689	1276.74475376619	1300.28338694227	1258.47316264504
"1281"	781.160496260419	698.853710811848	742.805921569154	1876.0104875695	1953.62973133386	1969.82226507207
"2316"	1317.59422961103	1308.89501521734	1366.24559636072	770.723589484549	842.550073621539	766.013510792801
"10398"	1401.60288947479	1393.93912823132	1462.63535135426	664.516085741945	728.757977420374	613.632767150791
"595"	1128.45593707518	1089.98578120199	1187.17091000953	845.454597809881	841.665517256786	793.718727178614
"1282"	717.964133655125	685.025539539949	694.459877657911	1184.03781316866	1107.69218925777	1220.32405706283
"1284"	657.804298919083	649.657707424769	653.056011946416	982.365638856345	970.525031562651	1038.76956887579
"857"	838.648783539339	830.9058801241	835.725731056199	602.642495812138	671.841301604646	579.617632507
"87"	839.551362368764	804.587558552846	859.331793043707	485.468437513524	502.943651104317	459.499537564488
"10627"	612.415492947245	678.375561476209	640.255372667519	543.510937475137	578.645205673063	546.067946933914
"387"	594.110733806162	597.118191764986	608.851152849709	565.559994337242	560.732354312195	565.544801866682
"103910"	588.267829955014	611.030341014548	600.473854020289	489.964393659178	496.295678005248	475.359580121725
"81"	675.609516032215	660.641700208821	697.040932341986	364.727869684416	398.03159751882	364.36259778171
"6464"	399.692216982609	421.96230752861	443.857955847004	544.344877349752	521.897567401898	537.888956132762
"824"	545.671998028078	557.226283673435	562.220734152632	331.801695245958	332.026205789848	315.296546121367
"3678"	448.914342758646	438.642583837105	480.963607514216	384.321068067941	351.455227421259	377.353873679032
"1290"	307.797091774034	301.32590818867	302.678133299275	502.251872214573	516.692025555235	507.3629152451
"7791"	529.39356189373	547.104385841844	564.002860558741	245.409484086076	279.108902629244	266.34593042332
"1289"	413.220167838637	398.509545247113	404.469564271717	328.654945709138	357.256175260205	311.051027013887
"3371"	384.751928696151	389.631532468739	392.736309371174	324.986051977621	345.580400744201	333.303882298885
"3693"	259.226395271219	271.322886373986	259.457674061509	442.186550621705	421.289066250961	459.670217688128
"3912"	212.020010087934	209.757536129526	204.826326428358	440.944029147296	459.857361129277	453.567148599831
"7094"	364.864425267797	368.345286948312	365.330606393947	304.289095352516	296.51290249685	274.009293799683
"3915"	355.967880852229	347.638811135139	362.423264729042	261.047311034551	269.280365414631	249.121959949355
"5879"	319.450307992563	320.649018798382	324.449891314603	281.688521579257	283.84774065787	285.304488443512
"4638"	405.386944754635	408.803453601275	412.894260159143	193.570452109446	192.582952266623	177.991959291308
"2318"	391.521654840659	389.848967723318	428.662731296007	158.736230011908	163.877953439316	156.585421491654
"858"	272.024738833166	289.72194368915	282.418986300769	268.87444160774	274.788442869829	255.511358225366
