sample	fq1	fq2	condition
SRR493366	/home/fp5-ws18/data/GSE37704/fastq/SRR493366_pass_1.fastq.gz	/home/fp5-ws18/data/GSE37704/fastq/SRR493366_pass_2.fastq.gz	scramble
SRR493367	/home/fp5-ws18/data/GSE37704/fastq/SRR493367_pass_1.fastq.gz	/home/fp5-ws18/data/GSE37704/fastq/SRR493367_pass_2.fastq.gz	scramble
SRR493368	/home/fp5-ws18/data/GSE37704/fastq/SRR493368_pass_1.fastq.gz	/home/fp5-ws18/data/GSE37704/fastq/SRR493368_pass_2.fastq.gz	scramble
SRR493369	/home/fp5-ws18/data/GSE37704/fastq/SRR493369_pass_1.fastq.gz	/home/fp5-ws18/data/GSE37704/fastq/SRR493369_pass_2.fastq.gz	HOXA1KD
SRR493370	/home/fp5-ws18/data/GSE37704/fastq/SRR493370_pass_1.fastq.gz	/home/fp5-ws18/data/GSE37704/fastq/SRR493370_pass_2.fastq.gz	HOXA1KD
SRR493371	/home/fp5-ws18/data/GSE37704/fastq/SRR493371_pass_1.fastq.gz	/home/fp5-ws18/data/GSE37704/fastq/SRR493371_pass_2.fastq.gz	HOXA1KD
